,wine_id,seo-name,vintage_id,wine,winery,year,country,region,wine_style,wine_style_description,ratings_average,ratings_number,all_vintage_ratings_average,all_vintage_ratings_count,price,original_price,price_type,grapes,interesting_facts,body_rating,body_description,vivino_type_id,genre,bottle_type,acidity,sweetness,intensity,tannin,fizziness,suggested_food_pairining,flavor_words
0,3394675,adega-cooperativa-de-borba-alentejo-galitos-rose-2021,168267342,Adega Cooperativa de Borba Alentejo Galitos Rosé 2021,Adega Cooperativa de Borba,2021,Portugal,Alentejano,,,0.0,8,3.2,957,3.49,,vc,,,,,,,Bottle (0.75l),,,,,,,"red_fruit, citrus_fruit"
1,2144797,adega-cooperativa-de-borba-alentejano-galitos-2020,162933166,Adega Cooperativa de Borba Alentejano Galitos 2020,Adega Cooperativa de Borba,2020,Portugal,Alentejano,Southern Portugal White,"Southern Portugal is far better known for its reds than its whites, but that doesn't mean that there aren't great bottles to be found. The dryer, hotter climate makes yielding precious acidic wine more challenging than it would be in the north.

The fabulous coastal region of Alentejo produces some excellent wine from the Antão Vaz grape, which is known for being acidic, zesty and tropical fruit-heavy.

Dry and hot are two words that commonly describe the growing regions of Southern Portugal. With as little as 23 inches of rainfall per year and summer temperatures often in excess of 100F, it's easy to see why it's considered difficult to grow great white wine.

While this area is more commonly known for reds, Antão Vaz is a white grape that has won plaudits across the wine world. Thick skinned and often similar to a lightly oaked chardonnay, it's the flagship wine of the Vidigueira region.

The wines of Southern Portugal love seafood, and work extremely well with some fresh fish, nice oily sardines or seafood paella.",3.4,102,3.3,8988,3.49,,vc,"Malvasia, Fernao Pires","[""The Alentejo region is far more well known for producing grain, and is unofficially called Portugal's “bread basket”."", 'Portugal is currently the 12th largest wine producing country in the world.', ""Southern Portugal is far better known for producing cork than producing wine. It makes over one third of the world's natural bottle stoppers.""]",3.0,Medium-bodied,2.0,White,Bottle (0.75l),2.712049,1.8135046,2.9970462,,,"Pasta, Pork, Shellfish, Lean fish","oak, earth, citrus_fruit, red_fruit, tree_fruit, tropical_fruit, non_oak, spices, black_fruit, floral, vegetal, dried_fruit, microbio"
2,1381777,cavagri-urbe-augusta-branco-2022,171522021,Cavagri Urbe Augusta Branco 2022,Cavagri,2022,Portugal,Vinho Verde,Portuguese Vinho Verde White,"Vinho Verde is a widely consumed white wine from Northern Portugal. The wine tends to be made from local grapes such as Alvarinho (Albarino), Loureiro, Arinto, and Azal.

Vinho Verde is a light, refreshing wine with lots of floral and green fruit notes. The wine often has a slight carbonation to it, though not enough that it could be referred to as a sparkling wine.

A Vinho Verde region was established in 1908, though the area didn't receive its Denominação de Origem Controlada (DOC) until 1984. The wine is thought to have originated in the Minho province in the far north of Portugal.

The carbonation in the bottle occurs from a process called malolactic fermentation, and while this is typically considered to be a defect in the wine the Vinho Verde producers found that the consumers rather liked it.

Because of the wine's bracing acidity and oceanic minerality it should be considered to be the ultimate partner to raw shellfish.",0.0,17,3.6,1715,3.9,,vc,"Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca","['Growers quite often plant their vines of telephone poles of large walls in order to grow fruit and vegetables beneath the vines.', 'Vinho Verde is a wine intended to be consumed young.', ""15% of Portugal's natural viticultural area is dedicated to the production of Vinho Verde.""]",1.0,Very light-bodied,2.0,Vinho Verde White,Bottle (0.75l),3.9501903,2.113211,1.8623809,,,"Shellfish, Vegetarian, Appetizers and snacks","tree_fruit, citrus_fruit, vegetal, red_fruit, tropical_fruit, earth"
3,1436282,mau-maria-branco-2018,156998530,Mau Maria Branco 2018,Mau Maria,2018,Portugal,Vinho Verde,Portuguese Vinho Verde White,"Vinho Verde is a widely consumed white wine from Northern Portugal. The wine tends to be made from local grapes such as Alvarinho (Albarino), Loureiro, Arinto, and Azal.

Vinho Verde is a light, refreshing wine with lots of floral and green fruit notes. The wine often has a slight carbonation to it, though not enough that it could be referred to as a sparkling wine.

A Vinho Verde region was established in 1908, though the area didn't receive its Denominação de Origem Controlada (DOC) until 1984. The wine is thought to have originated in the Minho province in the far north of Portugal.

The carbonation in the bottle occurs from a process called malolactic fermentation, and while this is typically considered to be a defect in the wine the Vinho Verde producers found that the consumers rather liked it.

Because of the wine's bracing acidity and oceanic minerality it should be considered to be the ultimate partner to raw shellfish.",0.0,21,3.8,1310,3.99,,vc,"Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca","['Growers quite often plant their vines of telephone poles of large walls in order to grow fruit and vegetables beneath the vines.', 'Vinho Verde is a wine intended to be consumed young.', ""15% of Portugal's natural viticultural area is dedicated to the production of Vinho Verde.""]",1.0,Very light-bodied,2.0,Vinho Verde White,Bottle (0.75l),3.998119,1.7651461,1.5118128,,,"Shellfish, Vegetarian, Appetizers and snacks","tree_fruit, citrus_fruit, tropical_fruit, floral"
4,80242,adega-cooperativa-de-borba-alentejano-convento-da-vila-2020,163163524,Adega Cooperativa de Borba Alentejano Convento Da Vila 2020,Adega Cooperativa de Borba,2020,Portugal,Alentejo,Portuguese Alentejo Red,"The Alentejo region covers approximately a third of Portugal, producing red wines that are easy-drinking and fruit-forward.

Aragonez is the most widely-planted red grape in the region, which produces full-bodied, budget friendly red wines. Castelao, Trincadeira are also widely planted. Frequently, wines from this region are blends of several grapes.

Although traditional Portuguese grape varieties dominate the region, many red wines from Alentejo also incorporate international grape varieties such as Syrah and Cabernet Sauvignon.

The region produces ripe, full bodied and fruit forward wines that are a product of the hot, inland region. The wines are often described as “New World” in style.

Due to the reliable climate, wines from Alentejo combine quality with affordability, offering great bang for the buck. It offers some of the best value and quality for the money of any European wine region.

Wine from this region pairs excellently with hearty, full-bodied dishes.",3.5,719,3.4,11635,4.2,,vc,"Aragonez, Castelao, Trincadeira","['Aragonez, the most widely planted grape in Alentejo region, is also known as Tempranillo.', 'Vineyard land in Alentejo is among the most expensive in all of Portugal.', 'The region of Alentejo is noted for its extensive cork production.']",4.0,Full-bodied,1.0,Alentejo Red,Bottle (0.75l),3.0912774,2.037842,3.4671724,2.847804,,"Beef, Lamb, Veal, Poultry","red_fruit, black_fruit, oak, earth, non_oak, spices, dried_fruit, microbio, floral, tropical_fruit, vegetal"
5,1105377,esporao-alandra-rose-2017,150592735,Esporão Alandra Rosé 2017,Esporão,2017,Portugal,Alentejo,,,3.2,63,3.2,1001,4.25,,vc,,,,,,,Bottle (0.75l),,,,,,,"red_fruit, citrus_fruit, microbio, oak"
6,1105374,esporao-alandra-tinto-2019,159530996,Esporão Alandra Tinto 2019,Esporão,2019,Portugal,Alentejo,Portuguese Alentejo Red,"The Alentejo region covers approximately a third of Portugal, producing red wines that are easy-drinking and fruit-forward.

Aragonez is the most widely-planted red grape in the region, which produces full-bodied, budget friendly red wines. Castelao, Trincadeira are also widely planted. Frequently, wines from this region are blends of several grapes.

Although traditional Portuguese grape varieties dominate the region, many red wines from Alentejo also incorporate international grape varieties such as Syrah and Cabernet Sauvignon.

The region produces ripe, full bodied and fruit forward wines that are a product of the hot, inland region. The wines are often described as “New World” in style.

Due to the reliable climate, wines from Alentejo combine quality with affordability, offering great bang for the buck. It offers some of the best value and quality for the money of any European wine region.

Wine from this region pairs excellently with hearty, full-bodied dishes.",3.4,2808,3.3,23983,4.25,,vc,"Aragonez, Castelao, Trincadeira","['Aragonez, the most widely planted grape in Alentejo region, is also known as Tempranillo.', 'Vineyard land in Alentejo is among the most expensive in all of Portugal.', 'The region of Alentejo is noted for its extensive cork production.']",4.0,Full-bodied,1.0,Alentejo Red,Bottle (0.75l),3.1385531,1.9224306,3.6187632,2.9734313,,"Beef, Lamb, Veal, Poultry","red_fruit, black_fruit, oak, earth, non_oak, spices, microbio, dried_fruit, floral, tree_fruit, citrus_fruit, vegetal, tropical_fruit"
7,1105376,esporao-alandra-branco-2019,160671606,Esporão Alandra Branco  2019,Esporão,2019,Portugal,Alentejano,Southern Portugal White,"Southern Portugal is far better known for its reds than its whites, but that doesn't mean that there aren't great bottles to be found. The dryer, hotter climate makes yielding precious acidic wine more challenging than it would be in the north.

The fabulous coastal region of Alentejo produces some excellent wine from the Antão Vaz grape, which is known for being acidic, zesty and tropical fruit-heavy.

Dry and hot are two words that commonly describe the growing regions of Southern Portugal. With as little as 23 inches of rainfall per year and summer temperatures often in excess of 100F, it's easy to see why it's considered difficult to grow great white wine.

While this area is more commonly known for reds, Antão Vaz is a white grape that has won plaudits across the wine world. Thick skinned and often similar to a lightly oaked chardonnay, it's the flagship wine of the Vidigueira region.

The wines of Southern Portugal love seafood, and work extremely well with some fresh fish, nice oily sardines or seafood paella.",3.6,651,3.1,8527,4.25,,vc,"Malvasia, Fernao Pires","[""The Alentejo region is far more well known for producing grain, and is unofficially called Portugal's “bread basket”."", 'Portugal is currently the 12th largest wine producing country in the world.', ""Southern Portugal is far better known for producing cork than producing wine. It makes over one third of the world's natural bottle stoppers.""]",3.0,Medium-bodied,2.0,White,Bottle (0.75l),2.6826549,1.6808848,2.9515636,,,"Pasta, Pork, Shellfish, Lean fish","citrus_fruit, tree_fruit, earth, vegetal, tropical_fruit, oak, red_fruit, microbio, non_oak, floral, spices"
8,1772601,adega-cooperativa-de-redondo-porta-da-ravessa-alentejo-branco-2020,164157015,AR - Adega de Redondo Porta Da Ravessa Alentejo  Branco 2020,AR - Adega de Redondo,2020,Portugal,Alentejo,Southern Portugal White,"Southern Portugal is far better known for its reds than its whites, but that doesn't mean that there aren't great bottles to be found. The dryer, hotter climate makes yielding precious acidic wine more challenging than it would be in the north.

The fabulous coastal region of Alentejo produces some excellent wine from the Antão Vaz grape, which is known for being acidic, zesty and tropical fruit-heavy.

Dry and hot are two words that commonly describe the growing regions of Southern Portugal. With as little as 23 inches of rainfall per year and summer temperatures often in excess of 100F, it's easy to see why it's considered difficult to grow great white wine.

While this area is more commonly known for reds, Antão Vaz is a white grape that has won plaudits across the wine world. Thick skinned and often similar to a lightly oaked chardonnay, it's the flagship wine of the Vidigueira region.

The wines of Southern Portugal love seafood, and work extremely well with some fresh fish, nice oily sardines or seafood paella.",3.2,182,3.2,3921,4.49,,vc,"Malvasia, Fernao Pires","[""The Alentejo region is far more well known for producing grain, and is unofficially called Portugal's “bread basket”."", 'Portugal is currently the 12th largest wine producing country in the world.', ""Southern Portugal is far better known for producing cork than producing wine. It makes over one third of the world's natural bottle stoppers.""]",3.0,Medium-bodied,2.0,White,Bottle (0.75l),2.8097496,1.7727164,2.8237183,,,"Pasta, Pork, Shellfish, Lean fish","tree_fruit, citrus_fruit, earth, tropical_fruit, microbio, vegetal, oak, floral, non_oak, red_fruit, spices"
9,1301087,adega-cooperativa-de-redondo-porta-da-ravessa-alentejo-tinto-2021,167860618,AR - Adega de Redondo Porta Da Ravessa Alentejo  Tinto 2021,AR - Adega de Redondo,2021,Portugal,Alentejo,Portuguese Alentejo Red,"The Alentejo region covers approximately a third of Portugal, producing red wines that are easy-drinking and fruit-forward.

Aragonez is the most widely-planted red grape in the region, which produces full-bodied, budget friendly red wines. Castelao, Trincadeira are also widely planted. Frequently, wines from this region are blends of several grapes.

Although traditional Portuguese grape varieties dominate the region, many red wines from Alentejo also incorporate international grape varieties such as Syrah and Cabernet Sauvignon.

The region produces ripe, full bodied and fruit forward wines that are a product of the hot, inland region. The wines are often described as “New World” in style.

Due to the reliable climate, wines from Alentejo combine quality with affordability, offering great bang for the buck. It offers some of the best value and quality for the money of any European wine region.

Wine from this region pairs excellently with hearty, full-bodied dishes.",3.4,150,3.3,15146,4.49,,vc,"Aragonez, Castelao, Trincadeira","['Aragonez, the most widely planted grape in Alentejo region, is also known as Tempranillo.', 'Vineyard land in Alentejo is among the most expensive in all of Portugal.', 'The region of Alentejo is noted for its extensive cork production.']",4.0,Full-bodied,1.0,Alentejo Red,Bottle (0.75l),3.1737244,1.8471,3.678317,2.9247134,,"Beef, Lamb, Veal, Poultry","oak, black_fruit, red_fruit, non_oak, spices, earth, microbio, dried_fruit, tropical_fruit, citrus_fruit, tree_fruit"
10,1153212,pt-borges-gatao-vinho-verde-2021,167594345,Borges Gatão Vinho Verde 2021,Borges,2021,Portugal,Vinho Verde,Portuguese Vinho Verde White,"Vinho Verde is a widely consumed white wine from Northern Portugal. The wine tends to be made from local grapes such as Alvarinho (Albarino), Loureiro, Arinto, and Azal.

Vinho Verde is a light, refreshing wine with lots of floral and green fruit notes. The wine often has a slight carbonation to it, though not enough that it could be referred to as a sparkling wine.

A Vinho Verde region was established in 1908, though the area didn't receive its Denominação de Origem Controlada (DOC) until 1984. The wine is thought to have originated in the Minho province in the far north of Portugal.

The carbonation in the bottle occurs from a process called malolactic fermentation, and while this is typically considered to be a defect in the wine the Vinho Verde producers found that the consumers rather liked it.

Because of the wine's bracing acidity and oceanic minerality it should be considered to be the ultimate partner to raw shellfish.",3.6,35,3.6,11957,4.59,,vc,"Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca","['Growers quite often plant their vines of telephone poles of large walls in order to grow fruit and vegetables beneath the vines.', 'Vinho Verde is a wine intended to be consumed young.', ""15% of Portugal's natural viticultural area is dedicated to the production of Vinho Verde.""]",1.0,Very light-bodied,2.0,Vinho Verde White,Bottle (0.75l),4.1777616,1.5475503,1.6085378,,,"Shellfish, Vegetarian, Appetizers and snacks","citrus_fruit, tree_fruit, tropical_fruit, earth, vegetal, microbio, red_fruit, spices, oak, floral, non_oak"
11,1214830,pt-jp-azeitao-rose-2018,159626288,JP Azeitão Rosé 2018,JP Azeitão,2018,Portugal,Península de Setúbal,,,3.6,296,3.6,3104,4.85,,vc,,,,,,,Bottle (0.75l),,,,,,,"red_fruit, citrus_fruit, tree_fruit, earth, spices, non_oak, oak, microbio, floral, black_fruit, tropical_fruit, vegetal"
