wine_id,wine,winery,year,region,wine_style,wine_style_description,ratings_average,ratings_number,all_vintage_ratings_average,all_vintage_ratings_count,price,price_type,grapes,interesting_facts,body_description,bottle_type,acidity,sweetness,intensity,tannin,fizziness,unique_id,alcohol,has_wine_style_description,has_interesting_facts,mild and soft cheese,pork,cured meat,game (deer & vension),fruity desserts,lean fish,appetizers and snacks,rich fish (salmon & tuna etc),veal,pasta,mature and hard cheese,lamb,vegetarian,blue cheese,sweet desserts,aperitif,poultry,shellfish,beef,amount_food_words,vegetal,oak,spices,tropical_fruit,non_oak,earth,tree_fruit,floral,black_fruit,microbio,dried_fruit,citrus_fruit,red_fruit,amount_flavor_words,amount_grapes,wine_type
2144797,Adega Cooperativa de Borba Alentejano Galitos 2020,Adega Cooperativa de Borba,2020,Alentejano,Southern Portugal White,"Southern Portugal is far better known for its reds than its whites, but that doesn't mean that there aren't great bottles to be found. The dryer, hotter climate makes yielding precious acidic wine more challenging than it would be in the north.

The fabulous coastal region of Alentejo produces some excellent wine from the Antão Vaz grape, which is known for being acidic, zesty and tropical fruit-heavy.

Dry and hot are two words that commonly describe the growing regions of Southern Portugal. With as little as 23 inches of rainfall per year and summer temperatures often in excess of 100F, it's easy to see why it's considered difficult to grow great white wine.

While this area is more commonly known for reds, Antão Vaz is a white grape that has won plaudits across the wine world. Thick skinned and often similar to a lightly oaked chardonnay, it's the flagship wine of the Vidigueira region.

The wines of Southern Portugal love seafood, and work extremely well with some fresh fish, nice oily sardines or seafood paella.",3.4,102,3.3,8988,3.49,vc,"Malvasia, Fernao Pires","[""The Alentejo region is far more well known for producing grain, and is unofficially called Portugal's “bread basket”."", 'Portugal is currently the 12th largest wine producing country in the world.', ""Southern Portugal is far better known for producing cork than producing wine. It makes over one third of the world's natural bottle stoppers.""]",Medium-bodied,Bottle (0.75l),2.712049,1.8135046,2.9970462,0.0,0.0,2144797-2020,13.0,Yes,Yes,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,4,True,True,True,True,True,True,True,True,True,True,True,True,True,13,2,white
1381777,Cavagri Urbe Augusta Branco 2022,Cavagri,2022,Vinho Verde,Portuguese Vinho Verde White,"Vinho Verde is a widely consumed white wine from Northern Portugal. The wine tends to be made from local grapes such as Alvarinho (Albarino), Loureiro, Arinto, and Azal.

Vinho Verde is a light, refreshing wine with lots of floral and green fruit notes. The wine often has a slight carbonation to it, though not enough that it could be referred to as a sparkling wine.

A Vinho Verde region was established in 1908, though the area didn't receive its Denominação de Origem Controlada (DOC) until 1984. The wine is thought to have originated in the Minho province in the far north of Portugal.

The carbonation in the bottle occurs from a process called malolactic fermentation, and while this is typically considered to be a defect in the wine the Vinho Verde producers found that the consumers rather liked it.

Because of the wine's bracing acidity and oceanic minerality it should be considered to be the ultimate partner to raw shellfish.",0.0,17,3.6,1715,3.9,vc,"Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca","['Growers quite often plant their vines of telephone poles of large walls in order to grow fruit and vegetables beneath the vines.', 'Vinho Verde is a wine intended to be consumed young.', ""15% of Portugal's natural viticultural area is dedicated to the production of Vinho Verde.""]",Very light-bodied,Bottle (0.75l),3.9501903,2.113211,1.8623809,0.0,0.0,1381777-2022,10.0,Yes,Yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,3,True,False,False,True,False,True,True,False,False,False,False,True,True,6,6,white
1436282,Mau Maria Branco 2018,Mau Maria,2018,Vinho Verde,Portuguese Vinho Verde White,"Vinho Verde is a widely consumed white wine from Northern Portugal. The wine tends to be made from local grapes such as Alvarinho (Albarino), Loureiro, Arinto, and Azal.

Vinho Verde is a light, refreshing wine with lots of floral and green fruit notes. The wine often has a slight carbonation to it, though not enough that it could be referred to as a sparkling wine.

A Vinho Verde region was established in 1908, though the area didn't receive its Denominação de Origem Controlada (DOC) until 1984. The wine is thought to have originated in the Minho province in the far north of Portugal.

The carbonation in the bottle occurs from a process called malolactic fermentation, and while this is typically considered to be a defect in the wine the Vinho Verde producers found that the consumers rather liked it.

Because of the wine's bracing acidity and oceanic minerality it should be considered to be the ultimate partner to raw shellfish.",0.0,21,3.8,1310,3.99,vc,"Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca","['Growers quite often plant their vines of telephone poles of large walls in order to grow fruit and vegetables beneath the vines.', 'Vinho Verde is a wine intended to be consumed young.', ""15% of Portugal's natural viticultural area is dedicated to the production of Vinho Verde.""]",Very light-bodied,Bottle (0.75l),3.998119,1.7651461,1.5118128,0.0,0.0,1436282-2018,11.0,Yes,Yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,3,False,False,False,True,False,False,True,True,False,False,False,True,False,4,6,white
80242,Adega Cooperativa de Borba Alentejano Convento Da Vila 2020,Adega Cooperativa de Borba,2020,Alentejo,Portuguese Alentejo Red,"The Alentejo region covers approximately a third of Portugal, producing red wines that are easy-drinking and fruit-forward.

Aragonez is the most widely-planted red grape in the region, which produces full-bodied, budget friendly red wines. Castelao, Trincadeira are also widely planted. Frequently, wines from this region are blends of several grapes.

Although traditional Portuguese grape varieties dominate the region, many red wines from Alentejo also incorporate international grape varieties such as Syrah and Cabernet Sauvignon.

The region produces ripe, full bodied and fruit forward wines that are a product of the hot, inland region. The wines are often described as “New World” in style.

Due to the reliable climate, wines from Alentejo combine quality with affordability, offering great bang for the buck. It offers some of the best value and quality for the money of any European wine region.

Wine from this region pairs excellently with hearty, full-bodied dishes.",3.5,719,3.4,11635,4.2,vc,"Aragonez, Castelao, Trincadeira","['Aragonez, the most widely planted grape in Alentejo region, is also known as Tempranillo.', 'Vineyard land in Alentejo is among the most expensive in all of Portugal.', 'The region of Alentejo is noted for its extensive cork production.']",Full-bodied,Bottle (0.75l),3.0912774,2.037842,3.4671724,2.847804,0.0,80242-2020,13.0,Yes,Yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,4,True,True,True,True,True,True,False,True,True,True,True,False,True,11,3,red
1105374,Esporão Alandra Tinto 2019,Esporão,2019,Alentejo,Portuguese Alentejo Red,"The Alentejo region covers approximately a third of Portugal, producing red wines that are easy-drinking and fruit-forward.

Aragonez is the most widely-planted red grape in the region, which produces full-bodied, budget friendly red wines. Castelao, Trincadeira are also widely planted. Frequently, wines from this region are blends of several grapes.

Although traditional Portuguese grape varieties dominate the region, many red wines from Alentejo also incorporate international grape varieties such as Syrah and Cabernet Sauvignon.

The region produces ripe, full bodied and fruit forward wines that are a product of the hot, inland region. The wines are often described as “New World” in style.

Due to the reliable climate, wines from Alentejo combine quality with affordability, offering great bang for the buck. It offers some of the best value and quality for the money of any European wine region.

Wine from this region pairs excellently with hearty, full-bodied dishes.",3.4,2808,3.3,23983,4.25,vc,"Aragonez, Castelao, Trincadeira","['Aragonez, the most widely planted grape in Alentejo region, is also known as Tempranillo.', 'Vineyard land in Alentejo is among the most expensive in all of Portugal.', 'The region of Alentejo is noted for its extensive cork production.']",Full-bodied,Bottle (0.75l),3.1385531,1.9224306,3.6187632,2.9734313,0.0,1105374-2019,13.0,Yes,Yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,4,True,True,True,True,True,True,True,True,True,True,True,True,True,13,3,red
1105376,Esporão Alandra Branco  2019,Esporão,2019,Alentejano,Southern Portugal White,"Southern Portugal is far better known for its reds than its whites, but that doesn't mean that there aren't great bottles to be found. The dryer, hotter climate makes yielding precious acidic wine more challenging than it would be in the north.

The fabulous coastal region of Alentejo produces some excellent wine from the Antão Vaz grape, which is known for being acidic, zesty and tropical fruit-heavy.

Dry and hot are two words that commonly describe the growing regions of Southern Portugal. With as little as 23 inches of rainfall per year and summer temperatures often in excess of 100F, it's easy to see why it's considered difficult to grow great white wine.

While this area is more commonly known for reds, Antão Vaz is a white grape that has won plaudits across the wine world. Thick skinned and often similar to a lightly oaked chardonnay, it's the flagship wine of the Vidigueira region.

The wines of Southern Portugal love seafood, and work extremely well with some fresh fish, nice oily sardines or seafood paella.",3.6,651,3.1,8527,4.25,vc,"Malvasia, Fernao Pires","[""The Alentejo region is far more well known for producing grain, and is unofficially called Portugal's “bread basket”."", 'Portugal is currently the 12th largest wine producing country in the world.', ""Southern Portugal is far better known for producing cork than producing wine. It makes over one third of the world's natural bottle stoppers.""]",Medium-bodied,Bottle (0.75l),2.6826549,1.6808848,2.9515636,0.0,0.0,1105376-2019,12.5,Yes,Yes,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,4,True,True,True,True,True,True,True,True,False,True,False,True,True,11,2,white
1772601,AR - Adega de Redondo Porta Da Ravessa Alentejo  Branco 2020,AR - Adega de Redondo,2020,Alentejo,Southern Portugal White,"Southern Portugal is far better known for its reds than its whites, but that doesn't mean that there aren't great bottles to be found. The dryer, hotter climate makes yielding precious acidic wine more challenging than it would be in the north.

The fabulous coastal region of Alentejo produces some excellent wine from the Antão Vaz grape, which is known for being acidic, zesty and tropical fruit-heavy.

Dry and hot are two words that commonly describe the growing regions of Southern Portugal. With as little as 23 inches of rainfall per year and summer temperatures often in excess of 100F, it's easy to see why it's considered difficult to grow great white wine.

While this area is more commonly known for reds, Antão Vaz is a white grape that has won plaudits across the wine world. Thick skinned and often similar to a lightly oaked chardonnay, it's the flagship wine of the Vidigueira region.

The wines of Southern Portugal love seafood, and work extremely well with some fresh fish, nice oily sardines or seafood paella.",3.2,182,3.2,3921,4.49,vc,"Malvasia, Fernao Pires","[""The Alentejo region is far more well known for producing grain, and is unofficially called Portugal's “bread basket”."", 'Portugal is currently the 12th largest wine producing country in the world.', ""Southern Portugal is far better known for producing cork than producing wine. It makes over one third of the world's natural bottle stoppers.""]",Medium-bodied,Bottle (0.75l),2.8097496,1.7727164,2.8237183,0.0,0.0,1772601-2020,12.5,Yes,Yes,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,4,True,True,True,True,True,True,True,True,False,True,False,True,True,11,2,white
1301087,AR - Adega de Redondo Porta Da Ravessa Alentejo  Tinto 2021,AR - Adega de Redondo,2021,Alentejo,Portuguese Alentejo Red,"The Alentejo region covers approximately a third of Portugal, producing red wines that are easy-drinking and fruit-forward.

Aragonez is the most widely-planted red grape in the region, which produces full-bodied, budget friendly red wines. Castelao, Trincadeira are also widely planted. Frequently, wines from this region are blends of several grapes.

Although traditional Portuguese grape varieties dominate the region, many red wines from Alentejo also incorporate international grape varieties such as Syrah and Cabernet Sauvignon.

The region produces ripe, full bodied and fruit forward wines that are a product of the hot, inland region. The wines are often described as “New World” in style.

Due to the reliable climate, wines from Alentejo combine quality with affordability, offering great bang for the buck. It offers some of the best value and quality for the money of any European wine region.

Wine from this region pairs excellently with hearty, full-bodied dishes.",3.4,150,3.3,15146,4.49,vc,"Aragonez, Castelao, Trincadeira","['Aragonez, the most widely planted grape in Alentejo region, is also known as Tempranillo.', 'Vineyard land in Alentejo is among the most expensive in all of Portugal.', 'The region of Alentejo is noted for its extensive cork production.']",Full-bodied,Bottle (0.75l),3.1737244,1.8471,3.678317,2.9247134,0.0,1301087-2021,13.5,Yes,Yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,4,False,True,True,True,True,True,True,False,True,True,True,True,True,11,3,red
1153212,Borges Gatão Vinho Verde 2021,Borges,2021,Vinho Verde,Portuguese Vinho Verde White,"Vinho Verde is a widely consumed white wine from Northern Portugal. The wine tends to be made from local grapes such as Alvarinho (Albarino), Loureiro, Arinto, and Azal.

Vinho Verde is a light, refreshing wine with lots of floral and green fruit notes. The wine often has a slight carbonation to it, though not enough that it could be referred to as a sparkling wine.

A Vinho Verde region was established in 1908, though the area didn't receive its Denominação de Origem Controlada (DOC) until 1984. The wine is thought to have originated in the Minho province in the far north of Portugal.

The carbonation in the bottle occurs from a process called malolactic fermentation, and while this is typically considered to be a defect in the wine the Vinho Verde producers found that the consumers rather liked it.

Because of the wine's bracing acidity and oceanic minerality it should be considered to be the ultimate partner to raw shellfish.",3.6,35,3.6,11957,4.59,vc,"Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca","['Growers quite often plant their vines of telephone poles of large walls in order to grow fruit and vegetables beneath the vines.', 'Vinho Verde is a wine intended to be consumed young.', ""15% of Portugal's natural viticultural area is dedicated to the production of Vinho Verde.""]",Very light-bodied,Bottle (0.75l),4.1777616,1.5475503,1.6085378,0.0,0.0,1153212-2021,9.0,Yes,Yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,3,True,True,True,True,True,True,True,True,False,True,False,True,True,11,6,white
10758092,JP Azeitão Bacalhoa 2021,JP Azeitão,2021,Península de Setúbal,Southern Portugal Red,"Just like in the north, the red wines of Southern Portugal are experiencing a Renaissance right now. These wines are typically fruity and easy to enjoy.

The regions of Alentejo and Ribatejo are leading the charge making delicious wine that anyone can enjoy.

While Northern Portugal is making amazing wines in small quantities, Southern Portugal is producing delicious, easy-drinking red wines in large quantities.

The region of Alentejo is on the forefront of this movement. The sprawling farms have allowed them to make soft, delicious wines from local grape varieties.

The region of Ribatejo is also making approachable, fun wines, but they use French grapes much more than Alentejo. Cabernet Sauvignon, Syrah, and Merlot are often found along with local grapes. White grapes are still more common in the area, but there is so much potential in the red wines.",3.6,64,3.7,245,4.85,vc,"Baga, Castelao","[""Over half of the world's supply of cork is grown in Portugal."", 'With its bulk wine production, the region of Estremadura produces more wine than any other region in Portugal.', 'The region of Estremadura is known locally as Oeste, which means West.', 'The soil in much of Southern Portugal is alluvial, which is very fertile and perfect for getting lots of fruit.', 'Traditional wine in the Alentejo region is aged in clay pots.', 'A large portion of the wine in Southern Portugal is made in cooperatives that make wine for many producers at the same time.']",Full-bodied,Bottle (0.75l),2.9903145,2.443438,3.287623,2.7089586,0.0,10758092-2021,13.5,Yes,Yes,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,4,False,True,True,False,True,True,False,True,True,True,False,False,True,8,2,red
