,wine_id,seo_cleaned,alcohol
0,3394675,adega-cooperativa-de-borba-alentejo-galitos-rose,13.0
1,2144797,adega-cooperativa-de-borba-alentejano-galitos,13.0
2,1381777,cavagri-urbe-augusta-branco,10.0
3,1436282,mau-maria-branco,11.0
4,80242,adega-cooperativa-de-borba-alentejano-convento-da-vila,13.0
5,1105377,esporao-alandra-rose,12.5
6,1105374,esporao-alandra-tinto,13.0
7,1105376,esporao-alandra-branco,12.5
8,1772601,adega-cooperativa-de-redondo-porta-da-ravessa-alentejo-branco,12.5
9,1301087,adega-cooperativa-de-redondo-porta-da-ravessa-alentejo-tinto,13.5
10,1153212,pt-borges-gatao-vinho-verde,9.0
11,1214830,pt-jp-azeitao-rose,13.5
12,10758092,pt-jp-azeitao-bacalhoa,13.5
13,5148148,portas-da-herdade-branco-alentejano,13.0
14,1954313,portas-da-herdade-tinto,0.0
15,10782595,cavagri-urbe-augusta-loureiro,11.0
16,67734,alianca-casal-mendes-ro,
17,5843012,casa-ermelinda-freitas-terras-do-sado-prestigious-portuguese-red-terras-do-sado-red-wine-v,0.0
18,1218337,alianca-vinho-verde,10.0
19,4269600,cartuxa-vinea-tinto,0.0
20,10354701,fonte-real-branco,13.0
21,4279147,casa-ermelinda-freitas-terras-do-sado-alvarinho-terras-do-sado-white-wine-v-xzsg7,0.0
22,76031,grao-vasco-dao-tinto,13.0
23,7385918,quinta-da-lixa-altivo-white,9.5
24,7698759,fiuza-ducado-do-infante-colheita-seleccionada-tinto,13.5
25,1253734,mateus-the-original-ro,
26,7255128,casal-garcia-white-sangr,
27,6218577,casal-garcia-sangria-dessert-wi,
28,1160233,casal-garcia-vinho-ro,
29,9230822,fonte-real-tinto,14.0
30,1226459,casal-garcia-vinho-ver,
31,1207621,casal-garcia-vinho-tinto-estremadura,11.0
32,9262548,fiuza-three-castas-reserva,13.5
33,4537649,casal-garcia-vinho-verde-sweet-vinho-ver,
34,1256623,cadao-tinto,13.5
35,1260282,conde-villar-branco,10.5
36,7331705,casa-de-vila-nova-fresh-young-vinho-verde-rose,10.0
37,7110548,monsaraz-tradicao-tinto,14.5
38,6877515,alfacinha-tinto,12.5
39,6877515,alfacinha-tinto,12.5
40,6858258,alfacinha-branco,12.5
41,1207621,casal-garcia-vinho-tinto-estremadura,11.0
42,1207621,casal-garcia-vinho-tinto-estremadura,11.0
43,10791879,portada-lote-dfj-branco,12.0
44,80245,adega-cooperativa-de-borba-branco,13.0
45,1195590,adega-cooperativa-de-borba-alentejo-tinto,13.5
46,2275911,adega-cooperativa-de-borba-alentejo-rose,12.5
47,3587927,casa-do-lago-tinto,12.5
48,1200810,ponte-de-lima-adamado,10.0
49,3824222,pt-santa-cristina-santa-cristina-vinho-verde-rose,12.0
50,7337683,pt-santa-cristina-santa-cristina-vinho-branco,0.0
51,5534794,ponte-de-lima-rose,10.5
52,1889051,quinta-da-lixa-seixoso-branco,9.5
53,2110272,escudo-real-blanco,9.5
54,1251591,herdade-fonte-paredes-pero-d-alter-vinho-regional-alentejano-tinto,0.0
55,5660180,guimaraes-minho-vinho-verde-rose,0.0
56,1525716,currais-siria,14.0
57,8435726,casa-santos-lima-rabo-de-gala-lisboa-branco,12.5
58,8692805,casa-santos-lima-rabo-de-gala-lisboa-rose,12.5
59,1751166,ravasqueira-fonte-da-serrana-tinto,13.5
60,1821619,espiga-tinto,13.0
61,1242389,amoras-tinto,13.0
62,1168604,montaria-alentejano-tinto,13.5
63,5708034,ribeiro-santo-pinha-rose,12.2
64,1695333,quinta-do-conde-two-us-duas-uvas-branco,9.5
65,4809439,ribeiro-santo-pinha-branco,12.8
66,6304212,casa-ermelinda-freitas-terras-do-sado-vinha-da-fonte-touriga-nacional,14.0
67,1919082,evidencia-tinto,12.5
68,7591745,evidencia-branco-dao,12.5
69,1703619,ciconia-tinto-touriga-nacional-syrah-aragonez,13.3
70,2576388,ciconia-branco-antao-vaz-viognier-verdelho,12.4
71,35274,casa-do-lago-lisboa-rose,12.0
72,6500003,aveleda-colheita-selecionada-loureiro-ibf7f,0.0
73,10699867,mandriola-de-lisboa-tinto,13.5
74,1200605,conde-villar-tinto,0.0
75,1928037,quinta-da-plansel-plansel-selecta,14.0
76,2533737,mayor-caiado-rose,13.0
77,1613020,mayor-caiado-branco,13.0
78,7801343,casa-ermelinda-freitas-terras-do-sado-flor-de-la-mar-branco,0.0
79,34654,portada-winemaker-s-selection-tinto,12.5
80,76416,aveleda-vinho-verde-fonte,9.5
81,34654,portada-winemaker-s-selection-tinto,12.5
82,8010741,casa-ermelinda-freitas-terras-do-sado-tulipa-rose,0.0
83,8057343,aveleda-fonte-vinho-verde-rose,10.5
84,1599377,ribeiro-santo-branco,12.8
85,3769193,ribeiro-santo-pinha-tinto,13.3
86,1635822,jose-maria-da-fonseca-periquita-tinto-original,13.0
87,1812163,arrojo-branco,12.5
88,4212416,arrojo-rose,13.0
89,3077883,arrojo-tinto,13.0
90,1319839,ravasqueira-fonte-da-serrana-branco,13.0
91,1283067,casa-do-lago-cabernet-sauvignon-grande-reserva,13.5
92,6997075,casa-ermelinda-freitas-terras-do-sado-flor-de-la-mar-tinto,14.0
93,5923158,casa-santos-lima-red-blend-estremadura,14.0
94,1167458,portas-de-lisboa-tinto,13.0
95,3327950,portas-de-lisboa-branco,13.0
96,6470639,azueira-alem-do-rio-rose,0.0
97,1319839,ravasqueira-fonte-da-serrana-branco,13.0
98,5489182,azueira-jasmim-tinto,0.0
99,6560746,casa-santos-lima-rabo-de-galo-lisboa-tinto,13.0
100,6597115,casa-santos-lima-bons-ventos-rouge-estremadura,13.0
101,1821619,espiga-tinto,13.0
102,1646116,mayor-caiado-tinto,14.0
103,9437315,esporao-monte-velho-rose,12.5
104,5831314,casa-do-lago-branco,0.0
105,1257837,carm-vinha-da-urze-tinto,13.5
106,1397799,adega-de-moncao-vinho-verde-muralhas-rose,11.5
107,7516084,indelevel-vegan-tinto,13.5
108,8646151,indelevel-vegan-branco,12.5
109,1573014,ribeiro-santo-tinto,13.5
110,1516003,montinho-sao-miguel-tinto,13.7
111,2313022,pt-manz-penedo-do-lexim,13.0
112,1276109,bacalhoa-vinhos-de-portugal-serras-de-azeitao-tinto,13.0
113,2814356,espiga-reserva,12.5
114,76031,grao-vasco-dao-tinto,13.0
115,779773,espiga-branco,12.5
116,2020763,aveleda-vinho-verde-quinta-da-aveleda,11.5
117,6250600,pt-merino-rose,12.5
118,2226826,encosta-da-vinha-tinto,13.0
119,6580293,agenda-da-vinha-colheita-selecionada-rose,0.0
120,2322451,pt-merino-old-vines-tinto,13.5
121,4848797,pt-merino-branco,13.1
122,4644923,quinta-do-lagar-novo-five-a-viognier,0.0
123,2460166,viuva-gomes-patrao-diogo-lisboa-branco,0.0
124,9237618,adega-do-montado-noia-branco,14.0
125,9288188,adega-do-montado-noia-tinto,0.0
126,5097799,casca-branco,12.2
127,1246384,pt-anselmo-mendes-muros-antigos-escolha,12.0
128,1234518,adega-de-moncao-muralhas-de-moncao-vinho-verde-branco,12.5
129,8695497,solar-das-boucas-escolha-branco,11.5
130,2063250,castello-d-alba-tinto,13.0
131,1635822,jose-maria-da-fonseca-periquita-tinto-original,13.0
132,10720099,mandriola-de-lisboa-branco,12.0
133,1148721,cabriz-dao-colheita-seleccionada-white,12.5
134,4740557,quinta-d-amares-rose-vinho-verde,0.0
135,1417465,ervideira-lusitano-cabernet-sauvignon,14.5
136,6953786,ribeiro-santo-pinha-reserva,13.0
137,4812176,ervideira-lusitano-selecao-rose,13.0
138,4812179,ervideira-lusitano-selecao-branco,12.5
139,4628354,valle-da-fonte-branco,12.5
140,6651829,ribeiro-santo-pinha-encruzado,13.0
141,1247468,quinta-d-amares-loureiro,0.0
142,4812179,ervideira-lusitano-selecao-branco,12.5
143,1230885,ervideira-lusitano-selecao-tinto,14.0
144,1105373,esporao-monte-velho-branco,14.0
145,5571292,esporao-bico-amarelo,11.5
146,11057949,casa-ermelinda-freitas-terras-do-sado-flor-de-la-mar-barrel-aged-chardonnay-branco,13.5
147,2130526,montaria-reserva-alentejano-tinto,14.0
148,8584712,esporao-monte-velho-organic,14.0
149,5372312,quinta-d-amares-loureiro-arinto-superior,12.0
150,8057324,patamar-reserva-red-blend,13.0
151,1523117,quinta-da-lixa-mar-azul-white,9.5
152,1418418,antonio-lopes-vinho-verde-rose,10.5
153,75977,casa-ferreirinha-douro-esteva-douro,13.0
154,1456810,antonio-lopes-vinho-verde-branco,9.5
155,1105373,esporao-monte-velho-branco,14.0
156,1105372,esporao-monte-velho-tinto,13.5
157,6863935,quinta-d-amares-loureiro-alvarinho,12.0
158,1257301,portada-medium-sweet-tinto,12.5
159,1675932,antonio-lopes-lopes-tinto,0.0
160,1199675,casa-ermelinda-freitas-terras-do-sado-terras-do-po-tinto,13.5
161,1165199,conde-villar-conde-villar-rose,0.0
162,1843721,bergamota-tinto,13.2
163,1246384,pt-anselmo-mendes-muros-antigos-escolha,12.0
164,2130526,montaria-reserva-alentejano-tinto,14.0
165,3664787,maria-mora-tinto,13.7
166,1694177,herdade-paco-do-conde-alentejano-tinto,14.0
167,2722147,opta-mola-branco-white-wine-v-j5nxo,0.0
168,3316655,casal-monteiro-picadeiro-arinto,13.0
169,3236950,casal-monteiro-picadeiro-pinot-noir-touriga-nacional,13.0
170,5217770,guarda-rios-rose,13.0
171,2787871,amoras-douro-tinto,0.0
172,8639039,monte-da-capela-capela-rose,12.5
173,1719383,valle-da-fonte-tinto-douro,14.0
174,1214830,pt-jp-azeitao-rose,13.5
175,76389,pt-calem-fine-tawny-po,
176,6821373,gravuras-do-coa-rose,13.5
177,4872512,gravuras-do-coa-branco,0.0
178,16384,lavradores-de-feitoria-douro-tinto,13.0
179,7520771,pt-santa-cristina-quinta-de-santa-cristina-grande-escolha,12.5
180,2366362,vallegre-douro-colheita,13.0
181,7488365,azevedo-azevedo-loureiro-alvarinho,12.0
182,2020763,aveleda-vinho-verde-quinta-da-aveleda,11.5
183,2027063,jose-maria-da-fonseca-montado-alentejo-tinto,13.7
184,3355340,casa-santos-lima-bonavita-tinto,14.0
185,2447595,lavradores-de-feitoria-douro-rose,12.5
186,8910684,casa-ermelinda-freitas-terras-do-sado-sand-stone-shiraz,14.5
187,2018319,antonio-lopes-reserva,13.0
188,4168768,vinha-maria-premium-tinto,13.0
189,9165941,niepoort-struwwelpeter,13.0
190,1200086,guarda-rios-tinto,13.5
191,5807462,casa-santos-lima-campo-de-ourique,0.0
192,2286242,guimaraes-minho-praca-de-s-tiago-espadeiro,10.6
193,10208670,monte-da-capela-capela-tinto,15.0
194,2164593,guimaraes-minho-praca-de-s-tiago-branco,12.0
195,1177614,ciconia-reserva-tinto-blend,14.2
196,1278529,aveleda-vinho-verde-loureiro-alvarinho,11.0
197,16385,lavradores-de-feitoria-douro-branco,12.5
198,8621786,dona-vitoria-grande-escolha-rose,0.0
199,8720016,dona-vitoria-grande-escolha-branco,0.0
200,6748101,quinta-da-lixa-escolha-white-blend,11.5
201,1278529,aveleda-vinho-verde-loureiro-alvarinho,11.0
202,2273406,porta-6-tinto,13.5
203,1651888,cadao-reserva-tinto,14.0
204,75650,quinta-do-encontro-q-do-e-merlot-baga,13.5
205,3027024,esporao-assobio-douro-branco,0.0
206,1781887,herdade-da-calada-vale-de-calada-tinto,14.5
207,1197823,pt-vista-alegre-fine-ruby-por,
208,1493141,esporao-assobio-douro,13.0
209,1246803,herdade-do-rocim-mariana-tinto,14.0
210,1754912,maria-mora-branco,12.8
211,3076465,carlos-lucas-lilas-douro-tinto,13.0
212,4588455,herdade-do-rocim-mariana-rose,12.5
213,1505229,quinta-do-gradil-tinto-1492,14.0
214,8666429,alfacinha-superior-estremadura,12.0
215,75977,casa-ferreirinha-douro-esteva-douro,13.0
216,6313183,casa-ermelinda-freitas-terras-do-sado-baia-de-troia-castelao-terras-do-sado,15.5
217,4771540,quinta-do-gradil-branco,13.0
218,3664787,maria-mora-tinto,13.7
219,1239731,casa-agricola-de-compostela-espigueiro,10.8
220,1897464,herdade-do-rocim-mariana-branco,12.5
221,11064776,casa-ermelinda-freitas-terras-do-sado-sandstone-castelao-shiraz,0.0
222,7056217,alfacinha-reserva-tinto,13.5
223,1434870,quinta-da-lixa-vinha-real,9.5
224,1165841,cartuxa-ea-tinto,12.5
225,10077407,portas-da-herdade-selecao-do-enologo,14.0
226,7221610,villa-alvor-tinto,14.0
