Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5281675853885208
75% Corpus,2,0.01,0.31,0.5456743484272322
75% Corpus,2,0.01,0.61,0.5350823149514345
75% Corpus,2,0.01,0.9099999999999999,0.5129140153230144
75% Corpus,2,0.01,symmetric,0.5623675604432825
75% Corpus,2,0.31,0.01,0.5614724771986797
75% Corpus,2,0.31,0.31,0.5730935104729203
75% Corpus,2,0.31,0.61,0.5280166957820474
75% Corpus,2,0.31,0.9099999999999999,0.5426844266839869
75% Corpus,2,0.31,symmetric,0.563862156896323
75% Corpus,2,0.61,0.01,0.5836963289023841
75% Corpus,2,0.61,0.31,0.5822328655498517
75% Corpus,2,0.61,0.61,0.5769277655247633
75% Corpus,2,0.61,0.9099999999999999,0.5822328655498517
75% Corpus,2,0.61,symmetric,0.5769277655247633
75% Corpus,2,0.9099999999999999,0.01,0.5695757476332317
75% Corpus,2,0.9099999999999999,0.31,0.5787025962698703
75% Corpus,2,0.9099999999999999,0.61,0.5787025962698704
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5822328655498515
75% Corpus,2,0.9099999999999999,symmetric,0.5822328655498517
75% Corpus,2,symmetric,0.01,0.5848229278792186
75% Corpus,2,symmetric,0.31,0.5822328655498517
75% Corpus,2,symmetric,0.61,0.5811171359636473
75% Corpus,2,symmetric,0.9099999999999999,0.5822328655498517
75% Corpus,2,symmetric,symmetric,0.5710822531551365
75% Corpus,2,asymmetric,0.01,0.5687833052362387
75% Corpus,2,asymmetric,0.31,0.557535032740796
75% Corpus,2,asymmetric,0.61,0.5749166389472271
75% Corpus,2,asymmetric,0.9099999999999999,0.5518650543958907
75% Corpus,2,asymmetric,symmetric,0.5749262938269049
75% Corpus,3,0.01,0.01,0.5561477595360804
75% Corpus,3,0.01,0.31,0.5384481313690304
75% Corpus,3,0.01,0.61,0.5448587853615704
75% Corpus,3,0.01,0.9099999999999999,0.5663045392936659
75% Corpus,3,0.01,symmetric,0.5638290917990164
75% Corpus,3,0.31,0.01,0.5816215710215019
75% Corpus,3,0.31,0.31,0.5961412637834544
75% Corpus,3,0.31,0.61,0.5601923545178287
75% Corpus,3,0.31,0.9099999999999999,0.5640029130850758
75% Corpus,3,0.31,symmetric,0.5882113358895872
75% Corpus,3,0.61,0.01,0.5802800141363202
75% Corpus,3,0.61,0.31,0.5665297833469544
75% Corpus,3,0.61,0.61,0.5626162913613847
75% Corpus,3,0.61,0.9099999999999999,0.5688864897058391
75% Corpus,3,0.61,symmetric,0.5631300529790829
75% Corpus,3,0.9099999999999999,0.01,0.5921936741341493
75% Corpus,3,0.9099999999999999,0.31,0.56310772394177
75% Corpus,3,0.9099999999999999,0.61,0.5486838474650898
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5649648319352006
75% Corpus,3,0.9099999999999999,symmetric,0.566446246906879
75% Corpus,3,symmetric,0.01,0.5823420044734359
75% Corpus,3,symmetric,0.31,0.5879874239982873
75% Corpus,3,symmetric,0.61,0.5739947574880484
75% Corpus,3,symmetric,0.9099999999999999,0.5617885899489693
75% Corpus,3,symmetric,symmetric,0.5925472330897033
75% Corpus,3,asymmetric,0.01,0.5656220876841098
75% Corpus,3,asymmetric,0.31,0.5843757542579398
75% Corpus,3,asymmetric,0.61,0.57048231769945
75% Corpus,3,asymmetric,0.9099999999999999,0.5699969535976886
75% Corpus,3,asymmetric,symmetric,0.5641557210104652
75% Corpus,4,0.01,0.01,0.5706422558719468
75% Corpus,4,0.01,0.31,0.5743419760270936
75% Corpus,4,0.01,0.61,0.5803439411086484
75% Corpus,4,0.01,0.9099999999999999,0.5777988815349748
75% Corpus,4,0.01,symmetric,0.5575205518762542
75% Corpus,4,0.31,0.01,0.5590971549317186
75% Corpus,4,0.31,0.31,0.5630661560228299
75% Corpus,4,0.31,0.61,0.5810430049519215
75% Corpus,4,0.31,0.9099999999999999,0.5211040991692013
75% Corpus,4,0.31,symmetric,0.5268349020736498
75% Corpus,4,0.61,0.01,0.5514175769140147
75% Corpus,4,0.61,0.31,0.5610538694172069
75% Corpus,4,0.61,0.61,0.5994678661273691
75% Corpus,4,0.61,0.9099999999999999,0.5710393808567651
75% Corpus,4,0.61,symmetric,0.5816601306020213
75% Corpus,4,0.9099999999999999,0.01,0.5551721823875914
75% Corpus,4,0.9099999999999999,0.31,0.5792961163590801
75% Corpus,4,0.9099999999999999,0.61,0.6134132930429684
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.6135789516338579
75% Corpus,4,0.9099999999999999,symmetric,0.5915111006952304
75% Corpus,4,symmetric,0.01,0.5711305358243126
75% Corpus,4,symmetric,0.31,0.5452753720403137
75% Corpus,4,symmetric,0.61,0.582151868139358
75% Corpus,4,symmetric,0.9099999999999999,0.5635504656783121
75% Corpus,4,symmetric,symmetric,0.5579004647483476
75% Corpus,4,asymmetric,0.01,0.5782058912885273
75% Corpus,4,asymmetric,0.31,0.616922852940114
75% Corpus,4,asymmetric,0.61,0.6233118864253467
75% Corpus,4,asymmetric,0.9099999999999999,0.5812613186359427
75% Corpus,4,asymmetric,symmetric,0.6299628306968259
75% Corpus,5,0.01,0.01,0.5673612599634539
